"ZIP","County","Pop","ED","HHIncome","Tmax","Ozone"
93203,6029,22178,1393,33636,27.5,58.4
93212,6107,23733,1663,18150,29.1,54.2
93221,6107,15515,566,58125,19.9,60.8
93225,6111,7995,351,34634,32.1,51.4
93230,6107,67750,2713,60473,27.2,61.4
93241,6029,17140,998,37016,30.5,62
93245,6031,39228,1536,57356,28.3,50.8
93257,6107,78672,3469,44531,24.4,58.8
93263,6029,20943,703,128266,30.4,52.5
93274,6107,72822,3115,50457,24.5,56.8
93277,6107,51711,1815,74474,20.1,58.5
93286,6107,9963,438,41399,27.7,54.1
93292,6107,40502,1594,59770,25,62
93301,6029,11716,694,41691,25.3,58.8
93304,6029,51078,2869,37932,25.9,56.8
93305,6029,38182,1968,42708,25.3,56.9
93306,6029,70015,3338,53681,25,61.9
93307,6029,88800,4421,52368,25,61.1
93308,6029,56469,2782,44722,20.5,51
93309,6029,59416,2827,51639,18.3,54.1
93311,6029,47690,1836,95139,29.9,53.2
93312,6029,58500,2559,73278,28.7,52
93313,6029,50687,2766,47169,30.4,56.6
93314,6029,29292,1215,55773,25.5,50.6
93401,6079,29470,303,65417,20.4,36
93402,6079,14632,141,79914,23,36.9
93405,6079,32509,569,19459,21,39
93420,6079,30154,311,71979,20.3,39.1
93422,6079,33029,304,103320,21.2,39.7
93428,6079,6608,65,70556,22.3,42.1
93433,6079,13622,178,49750,20.1,34
93436,6083,56928,427,78207,29.4,40.6
93442,6079,11041,159,54900,19.6,35.1
93444,6079,20734,192,77794,20.6,36.9
93445,6079,6908,73,44646,20.7,35.9
93446,6079,44844,523,71972,24.5,39.9
93449,6079,8237,78,105917,20.9,35.8
93451,6053,4905,123,79688,29.2,47.3
93454,6079,37959,394,76500,21.7,39.8
93455,6083,43567,343,70208,30,37.4
93458,6079,58256,607,70063,20.6,39.1
93463,6083,8753,46,122788,28.9,37.9
93510,6037,8262,651,23259,30,58.7
93516,6029,2200,90,55885,27.6,53.1
93534,6037,40806,2450,43194,29,56.6
93535,6037,76839,4311,49635,31.7,57.7
93536,6029,74621,3214,80385,28.3,61
93543,6037,13528,463,158050,31.1,58.6
93545,6027,2341,57,130667,24.1,56
93546,6051,9303,446,76225,24.9,54.5
93550,6037,77747,4024,60370,29.8,54.8
93551,6037,53851,2435,91813,29.9,57
93552,6037,40741,2051,58824,28.8,57.5
93561,6029,34669,1425,70455,19.7,53
93610,6039,23985,1364,50208,30,53.2
93612,6019,36140,2795,37292,30,61.7
93619,6019,37388,1486,126000,30.4,55.8
93620,6019,10181,468,22396,29.9,49.6
93630,6019,20744,1166,72917,30.1,57
93631,6107,16988,613,68036,25.1,61.4
93635,6047,41301,1642,75650,24.4,45.3
93636,6039,12034,599,72361,30.6,55.5
93637,6039,38490,2717,44028,29.5,53.7
93638,6039,52886,3795,41591,30.4,55.7
93640,6019,13388,712,35625,28.2,44.5
93644,6039,8717,411,53281,29.3,52.6
93650,6019,3461,210,62740,30,63.2
93654,6019,31036,1865,62240,19.9,57.7
93657,6019,36877,2463,52368,27.9,59.9
93702,6019,48011,4103,30395,29.7,56.8
93703,6019,33682,2362,41827,27,56.6
93704,6019,27805,1930,44265,27.4,56.8
93705,6019,37755,2468,56548,28.1,60
93706,6019,41697,3412,32750,26.7,59.5
93711,6019,37873,2450,55179,28.8,56.8
93722,6019,81084,5202,57750,29.4,63.1
93726,6019,39638,3413,28487,24.4,60.2
93727,6019,75607,4722,57927,27.4,64.3
93728,6019,15997,1173,38750,26.2,56.6
93901,6053,27021,372,55417,23.4,31.4
93905,6053,64186,955,54464,23.1,38.4
93906,6053,58166,709,78333,23.1,33.1
93907,6053,23260,266,98347,25,37.1
93923,6053,12230,104,152639,20.8,38.6
93927,6053,18653,520,32143,21.1,50.5
93933,6053,23221,400,40729,29,34.8
93940,6053,31795,382,94250,22.4,35.9
93950,6053,15417,172,110559,25,38.9
93953,6053,5301,52,161685,25.1,35.5
93955,6053,34714,439,70375,24.7,35
94002,6081,27337,323,86750,23,33.6
94005,6081,4607,36,181280,25.7,30
94010,6081,42088,482,92206,26.9,32.8
94014,6081,49193,547,102917,25.8,33
94015,6081,63784,741,90729,26.3,33.7
94019,6081,19937,219,123281,23,35.5
94022,6085,20109,108,139267,22.9,35.2
94024,6085,22866,127,176708,25.8,39.2
94025,6081,42099,374,184286,25.5,33.3
94030,6081,22382,221,156034,26.7,35.3
94040,6085,36393,256,134102,28.5,39.7
94041,6085,14239,81,142594,24.7,40.1
94043,6085,30566,223,149327,23.5,38.3
94044,6081,39016,365,139545,26.5,36.6
94061,6081,36276,347,131250,16.2,33.8
94062,6081,28550,238,169948,20.8,33.7
94063,6081,34386,373,95333,16.2,34.5
94065,6081,11965,102,202941,22.9,29.6
